#RC	PMF(kcal/mol)		#RC	PMF(kcal/mol)		STDEV			#RC	PMF(kcal/mol)		STDEV			#RC	PMF(kcal/mol)		STDEV			#RC	PMF(kcal/mol)			STDEV
	cMD (6000 ns)		LiGaMD (300 ns x 3)		STDEV			LiGaMD_Dual (300 ns x 3)	STDEV			LiGaMD_Modified (300 ns x 3)	STDEV			LiGaMD_Dual_Modified (300 ns x 3)	STDEV
-0.5	31.5557572431833	-0.5	37.4827978290433	0.260615831065811	-0.5	51.1553348152564	1.50781324206947	-0.5	31.6671956989287	0.365679841452291	-0.5	31.8490267791649	0.0238262755721215
0	0.780994935857211	0	1.08974262513442	0.278797800541678	0	1.15862514547716	0.215470062179179	0	1.11252271455103	0.0189730094423074	0	1.01651350773029	0.041989253037682
0.5	0.165192048625171	0.5	0.359683450747866	0.163098492240688	0.5	0.405324503473545	0.0535400070851953	0.5	0.455623600017738	0.023354190255923	0.5	0.360998254853593	0.0429594818058244
1	0.0364322413003677	1	0.110512612989608	0.0800780061676487	1	0.0938704503025155	0.0745010831028119	1	0.2571036404795	0.056574016711502	1	0.159155262579997	0.0182668619548091
1.5	0	1.5	0	0	1.5	0	0	1.5	0.0801251557096985	0.0716140991853983	1.5	0	0
2	0.261984413604314	2	0.234843073755794	0.185237357450417	2	0.328754690339399	0.0667130142970596	2	0.111866016164957	0.0225116508189798	2	0.0589118079623108	0.0254293395629101
2.5	0.746868699980664	2.5	0.734465786162438	0.312385185302528	2.5	0.929956591087854	0.144169217235138	2.5	0.342108740739843	0.0529956733049113	2.5	0.308195436785573	0.0545583142812564
3	1.29469632554216	3	1.31094227897601	0.406054500177825	3	1.57494180342016	0.129439025646894	3	0.699587080147042	0.116028374534027	3	0.660430775295598	0.0743254467796018
3.5	1.80951178026211	3.5	1.92547813271884	0.419121795251951	3.5	2.18939563084823	0.262773353971431	3.5	1.14720836749374	0.132235696379885	3.5	1.097823695546	0.0648034455409186
4	2.25975227908582	4	2.49854088986399	0.357960124819102	4	2.65626533717124	0.201926258420025	4	1.58115926877913	0.125239446943389	4	1.49872344322571	0.0440702537361047
4.5	2.64267210494973	4.5	3.03428550703629	0.323780507722028	4.5	3.1243980744316	0.24738430434035	4.5	1.9276860408138	0.0970428388091593	4.5	1.81252724723319	0.112364597109283
5	2.96881089228358	5	3.42837794055729	0.274696997754929	5	3.64927843348472	0.237790879880003	5	2.14061408474541	0.0621417367321056	5	2.00422755845562	0.134287520435696
5.5	3.09112114794875	5.5	3.64238819884119	0.368869639901721	5.5	3.93198516720657	0.17283381193578	5.5	2.23629455403954	0.140363435327657	5.5	2.13030631211721	0.132690433533146
6	3.25781168331034	6	3.86023765680059	0.482628962912645	6	4.45695120102268	0.215550284635994	6	2.26173378209076	0.275195242023126	6	2.21378551947319	0.199437771813858
6.5	3.38630968673503	6.5	4.00079233240622	0.637955286132905	6.5	4.15889937481749	0.221221271454754	6.5	2.17598221313646	0.420076493821669	6.5	2.25266961778344	0.232918248522418
7	3.51908556407421	7	3.82791688430402	0.785561837493098	7	4.27249348924888	0.336962689365302	7	2.03994931215795	0.538112237718959	7	2.22951285186994	0.217727490312855
7.5	3.60419275748897	7.5	3.72136894583378	0.675971879285169	7.5	4.39835134897745	0.436172129009124	7.5	1.8893670026433	0.537412631840176	7.5	2.0995400209871	0.123091939710529
8	3.48147762519747	8	3.51417554202086	0.651270868372702	8	4.09199185485366	0.189829821976501	8	1.65082182925848	0.538704002735644	8	1.876257720832	0.072389008092142
8.5	3.21081669771858	8.5	3.04289669393912	0.709989323366658	8.5	3.76092255901326	0.352502335477397	8.5	1.30660820712454	0.587425710351708	8.5	1.57408425759373	0.0961148294878247
9	2.8458223049254	9	2.64613371243099	0.642831032749196	9	3.28960609351638	0.300577066711227	9	0.942872819083556	0.555672481652366	9	1.17486090081897	0.120107388822665
9.5	2.67912213389991	9.5	2.51689765095588	0.511361486599313	9.5	3.05908952260208	0.260056505496016	9.5	0.732355942159708	0.490748995173687	9.5	0.922826438597195	0.131555849771608
10	2.93952567966719	10	2.7403363947521	0.513355569674275	10	3.39032986399937	0.296481774097985	10	0.73213431240969	0.482123148165134	10	0.920967565520622	0.0972472866691964
10.5	3.16283009020427	10.5	2.99639899763984	0.512486317917119	10.5	3.68165963777654	0.299380032740977	10.5	0.769770039986376	0.488921639220014	10.5	0.98118206519279	0.0380833867648529
11	3.35361502177334	11	3.13806918868566	0.566849409637216	11	3.80599343410352	0.281090476281047	11	0.765095316003155	0.526611743320298	11	1.00753411468714	0.0370631850475787
11.5	3.52070560886044	11.5	3.23086281653982	0.611637599700539	11.5	3.92321424619688	0.331277230847781	11.5	0.764867740718514	0.547190435422345	11.5	1.02016500084766	0.0458899671671722
12	3.67980132172507	12	3.3578724314193	0.629686053200338	12	4.09032072609661	0.306531220600846	12	0.78692934895027	0.560002566102264	12	1.02958415833623	0.0626474198451188
12.5	3.71702667161379	12.5	3.38988329344801	0.611438955338817	12.5	4.15863597301648	0.254126122279788	12.5	0.769529444519014	0.551678668128698	12.5	1.04003178528821	0.0722007355991919
13	3.77391448432943	13	3.38462325039035	0.604107566027318	13	4.18995055968153	0.28838778320745	13	0.721168741419483	0.548657444865894	13	1.00816537792089	0.0784547419913428
13.5	3.66512842227431	13.5	3.34750250680917	0.598538208599075	13.5	4.11649445546639	0.327221582588394	13.5	0.66448383309805	0.544246902709149	13.5	0.955096678319374	0.0802204706539143
